Creation Date,Step Count
2023-10-26 16:02:54+03:00,785
2023-10-26 16:04:55+03:00,878
2023-10-26 16:13:26+03:00,820
2023-10-26 16:14:56+03:00,658
2023-10-26 16:23:21+03:00,377
2023-10-26 16:25:05+03:00,603
2023-10-26 16:29:07+03:00,101
2023-10-26 16:35:06+03:00,113
2023-10-26 16:45:36+03:00,113
2023-10-26 18:20:54+03:00,121
2023-10-26 18:32:55+03:00,632
2023-10-26 18:37:14+03:00,529
2023-10-26 18:47:25+03:00,416
2023-10-26 18:49:02+03:00,506
2023-10-26 18:58:35+03:00,291
2023-10-26 18:59:15+03:00,317
2023-10-26 19:34:14+03:00,227
2023-10-26 19:45:31+03:00,212
2023-10-26 19:52:45+03:00,714
2023-10-26 19:55:32+03:00,662
2023-10-26 20:03:20+03:00,367
2023-10-26 20:05:33+03:00,407
2023-10-26 20:13:31+03:00,219
2023-10-26 20:16:18+03:00,307
2023-10-26 20:23:54+03:00,321
2023-10-26 20:26:18+03:00,262
2023-10-26 20:40:34+03:00,128
2023-10-26 20:45:45+03:00,142
2023-10-26 22:09:31+03:00,582
2023-10-26 22:09:54+03:00,639
2023-10-26 23:01:40+03:00,755
2023-10-26 23:11:07+03:00,763
2023-10-26 23:21:28+03:00,824
2023-10-26 23:31:14+03:00,192
2023-10-26 23:43:37+03:00,313
2023-10-27 19:06:51+03:00,101
2023-10-27 19:07:41+03:00,101
2023-10-27 19:15:00+03:00,525
2023-10-27 21:51:20+03:00,362
2023-10-27 21:55:02+03:00,427
2023-10-28 16:49:36+03:00,108
2023-10-28 16:51:29+03:00,540
2023-10-28 17:15:10+03:00,664
2023-10-28 17:15:53+03:00,615
2023-10-28 18:06:25+03:00,791
2023-10-28 18:08:15+03:00,798
2023-10-28 18:16:46+03:00,577
2023-10-28 18:17:04+03:00,567
2023-10-28 18:27:49+03:00,106
2023-10-28 20:51:44+03:00,410
2023-10-28 20:52:52+03:00,436
2023-10-28 21:01:58+03:00,209
2023-10-28 21:02:33+03:00,186
2023-10-28 21:18:28+03:00,231
2023-10-28 21:29:17+03:00,131
2023-10-28 21:35:56+03:00,170
2023-10-28 21:41:17+03:00,107
2023-10-28 23:39:00+03:00,152
2023-10-28 23:48:01+03:00,417
2023-10-28 23:54:29+03:00,103
2023-10-28 23:58:02+03:00,788
2023-10-29 00:05:19+03:00,653
2023-10-29 00:08:03+03:00,712
2023-10-29 00:16:10+03:00,256
2023-10-29 00:18:14+03:00,241
2023-10-29 00:47:44+03:00,773
2023-10-29 00:49:53+03:00,780
2023-10-29 00:57:45+03:00,171
2023-10-29 01:34:12+03:00,320
2023-10-29 01:38:46+03:00,805
2023-10-29 01:43:19+03:00,685
2023-10-29 01:48:46+03:00,600
2023-10-29 01:54:10+03:00,914
